ticker,date,open,high,low,close
SNDK,2025-02-24,52.7,53.0,46.21,48.59
SNDK,2025-02-25,48.375,55.01,47.81,48.06
SNDK,2025-02-26,46.18,49.91,45.37,46.58
SNDK,2025-02-27,46.04,47.87,41.58,45.15
SNDK,2025-02-28,45.23,48.7,43.75,47.0
SNDK,2025-03-03,48.49,50.88,47.605,50.29
SNDK,2025-03-04,47.94,50.1,45.0965,48.69
SNDK,2025-03-05,47.6,49.3975,46.5,48.47
SNDK,2025-03-06,47.41,49.06,45.24,46.5
SNDK,2025-03-07,49.2,51.13,47.16,51.05
SNDK,2025-03-10,50.49,53.67,49.55,52.965
SNDK,2025-03-11,51.84,53.19,49.82,52.15
SNDK,2025-03-12,53.0,53.01,50.38,50.44
SNDK,2025-03-13,50.0,50.84,47.86,48.44
SNDK,2025-03-14,49.43,54.94,49.43,54.82
SNDK,2025-03-17,54.745,58.36,54.745,55.56
SNDK,2025-03-18,55.5,57.89,54.6,56.42
SNDK,2025-03-19,56.3,57.605,55.67,56.33
SNDK,2025-03-20,56.51,57.17,54.92,56.21
SNDK,2025-03-21,55.1,55.1,51.915,53.99
SNDK,2025-03-24,54.61,55.5,51.84,52.99
SNDK,2025-03-25,52.13,53.18,51.76,52.2
SNDK,2025-03-26,53.53,53.7,51.98,52.62
SNDK,2025-03-27,51.95,54.24,51.71,52.88
SNDK,2025-03-28,52.21,52.89,48.455,48.97
SNDK,2025-03-31,47.41,48.395,47.04,47.59
SNDK,2025-04-01,47.55,49.36,46.58,48.11
SNDK,2025-04-02,46.92,48.71,46.51,47.67
SNDK,2025-04-03,44.8,44.8,37.55,38.23
SNDK,2025-04-04,29.97,29.97,28.36,29.97
SNDK,2025-04-07,29.185,32.6,27.985,31.44
SNDK,2025-04-08,33.0,35.7885,31.655,32.35
SNDK,2025-04-09,32.41,39.65,31.5059,36.57
SNDK,2025-04-10,34.61,34.98,30.51,31.07
SNDK,2025-04-11,30.705,32.05,28.27,31.97
SNDK,2025-04-14,33.75,36.17,32.48,33.55
SNDK,2025-04-15,33.3,34.56,32.89,33.23
SNDK,2025-04-16,32.3,33.12,30.75,32.03
SNDK,2025-04-17,32.04,32.41,30.39,31.29
SNDK,2025-04-21,31.07,31.07,28.94,29.81
SNDK,2025-04-22,30.26,31.12,29.315,29.62
SNDK,2025-04-23,31.985,32.77,30.2,30.33
SNDK,2025-04-24,30.81,32.98,30.31,32.29
SNDK,2025-04-25,32.06,33.37,31.69,32.85
SNDK,2025-04-28,32.63,33.0,31.66,32.27
SNDK,2025-04-29,31.39,33.04,31.39,32.94
SNDK,2025-04-30,31.84,32.47,31.01,32.127
SNDK,2025-05-01,32.48,34.19,32.48,32.59
SNDK,2025-05-02,33.2164,35.4,33.2164,34.4
SNDK,2025-05-05,33.77,35.23,33.77,34.61
SNDK,2025-05-06,34.02,34.43,33.46,33.83
SNDK,2025-05-07,34.0,35.56,33.3775,34.97
SNDK,2025-05-08,34.995,37.76,33.25,36.66
SNDK,2025-05-09,37.96,38.79,37.28,37.74
SNDK,2025-05-12,41.14,42.24,40.05,41.195
SNDK,2025-05-13,41.85,43.8,41.31,42.0
SNDK,2025-05-14,42.315,43.43,41.03,41.93
SNDK,2025-05-15,40.61,40.61,39.75,40.61
SNDK,2025-05-16,40.52,41.0,39.925,40.44
SNDK,2025-05-19,39.25,39.5,38.53,38.78
SNDK,2025-05-20,38.88,41.1108,38.5,40.18
SNDK,2025-05-21,40.04,40.48,38.35,38.6
SNDK,2025-05-22,38.4,39.284,37.77,37.84
SNDK,2025-05-23,36.25,37.5667,35.79,37.28
SNDK,2025-05-27,37.945,38.62,37.5,38.18
SNDK,2025-05-28,38.4,38.91,37.8,38.58
SNDK,2025-05-29,39.04,39.225,37.685,38.6
SNDK,2025-05-30,38.19,38.45,36.68,37.69
SNDK,2025-06-02,37.54,37.88,36.207,37.33
SNDK,2025-06-03,37.45,39.24,36.87,38.64
SNDK,2025-06-04,38.64,40.27,38.35,39.82
SNDK,2025-06-05,39.375,40.45,37.33,39.12
SNDK,2025-06-06,39.73,40.155,38.53,39.15
SNDK,2025-06-09,40.27,42.235,39.55,41.82
SNDK,2025-06-10,41.79,42.66,40.75,41.59
SNDK,2025-06-11,42.38,43.23,39.89,40.23
SNDK,2025-06-12,39.67,41.83,39.44,41.3
SNDK,2025-06-13,41.0,42.83,40.78,42.5
SNDK,2025-06-16,43.37,44.85,42.56,44.21
SNDK,2025-06-17,44.23,44.5591,43.535,44.09
SNDK,2025-06-18,45.0,47.43,44.86,46.62
SNDK,2025-06-20,46.98,48.21,44.76,46.59
SNDK,2025-06-23,46.36,48.25,45.8036,46.95
SNDK,2025-06-24,47.18,48.75,46.71,47.34
SNDK,2025-06-25,47.34,48.16,47.05,47.25
SNDK,2025-06-26,49.595,49.82,47.07,47.44
SNDK,2025-06-27,47.23,47.74,46.19,47.15
SNDK,2025-06-30,47.23,47.34,45.33,45.33
SNDK,2025-07-01,45.7,45.915,44.3,44.96
SNDK,2025-07-02,44.52,46.24,44.17,46.21
SNDK,2025-07-03,46.095,47.32,45.89,46.41
SNDK,2025-07-07,47.14,47.235,45.09,45.22
SNDK,2025-07-08,46.12,47.25,45.61,46.17
SNDK,2025-07-09,46.12,47.09,45.9845,46.172
SNDK,2025-07-10,47.37,47.75,46.62,46.95
SNDK,2025-07-11,46.09,46.09,46.09,46.09
SNDK,2025-07-14,44.63,44.85,41.46,42.48
SNDK,2025-07-15,42.8,43.45,42.515,42.72
SNDK,2025-07-16,42.76,42.96,40.3,41.36
SNDK,2025-07-17,41.4,42.26,41.04,41.52
SNDK,2025-07-18,41.54,42.285,40.84,42.19
SNDK,2025-07-21,41.728,42.28,40.55,41.61
SNDK,2025-07-22,41.51,41.98,40.89,41.36
SNDK,2025-07-23,41.06,43.65,41.06,43.0
SNDK,2025-07-24,43.08,43.5,42.03,42.06
SNDK,2025-07-25,42.48,42.605,41.5,42.48
SNDK,2025-07-28,43.08,43.24,41.57,41.89
SNDK,2025-07-29,42.26,43.19,41.6766,42.935
SNDK,2025-07-30,42.07,43.47,42.07,43.39
SNDK,2025-07-31,43.73,44.62,42.2425,42.92
SNDK,2025-08-01,42.18,42.225,40.1,41.33
SNDK,2025-08-04,42.11,42.54,41.6,42.51
SNDK,2025-08-05,42.53,43.395,41.4,41.93
SNDK,2025-08-06,42.72,43.0,41.615,42.1
SNDK,2025-08-07,42.0,42.35,40.53,40.69
SNDK,2025-08-08,41.41,44.85,41.0,44.34
SNDK,2025-08-11,45.7,46.35,43.17,43.37
SNDK,2025-08-12,45.21,47.86,45.0,46.83
SNDK,2025-08-13,47.02,48.46,46.8,47.01
SNDK,2025-08-14,46.43,47.2637,46.08,46.68
SNDK,2025-08-15,43.06,46.13,42.82,44.54
SNDK,2025-08-18,44.25,45.87,44.25,45.52
SNDK,2025-08-19,46.23,46.5,44.26,44.58
SNDK,2025-08-20,44.86,45.0,43.2016,44.4
SNDK,2025-08-21,43.87,45.6,43.56,45.5
SNDK,2025-08-22,46.11,47.19,45.63,46.37
SNDK,2025-08-25,46.36,46.88,46.01,46.78
SNDK,2025-08-26,46.75,48.21,46.75,47.35
SNDK,2025-08-27,47.4,49.075,47.4,48.44
SNDK,2025-08-28,48.56,51.23,48.56,50.87
SNDK,2025-08-29,51.15,52.94,50.82,52.47
SNDK,2025-09-02,51.01,51.7,50.07,51.07
SNDK,2025-09-03,51.92,53.225,50.65,53.01
SNDK,2025-09-04,55.67,62.65,55.55,62.5
SNDK,2025-09-05,65.52,68.67,63.74,68.589
SNDK,2025-09-08,68.65,71.0,67.86,70.48
SNDK,2025-09-09,70.26,71.4,69.57,70.51
SNDK,2025-09-10,72.42,74.49,72.03,73.92
SNDK,2025-09-11,82.3,85.89,81.38,84.3
SNDK,2025-09-12,85.31,86.96,82.28,86.13
SNDK,2025-09-15,85.3,92.055,85.12,90.09
SNDK,2025-09-16,90.31,93.13,89.56,91.55
SNDK,2025-09-17,90.775,94.81,90.22,93.98
SNDK,2025-09-18,97.3,102.93,96.8581,98.87
SNDK,2025-09-19,98.0,102.99,96.71,102.25
SNDK,2025-09-22,105.76,108.8,101.59,102.92
SNDK,2025-09-23,105.0,110.21,104.7,106.4
SNDK,2025-09-24,103.555,107.72,96.6313,99.83
SNDK,2025-09-25,96.265,100.45,93.535,94.29
SNDK,2025-09-26,96.0,99.6462,94.39,97.12
SNDK,2025-09-29,104.25,114.0,103.348,113.5
SNDK,2025-09-30,114.1,120.74,112.11,112.2
SNDK,2025-10-01,113.06,123.85,112.0,121.12
SNDK,2025-10-02,128.69,132.29,123.265,124.14
SNDK,2025-10-03,128.29,137.05,126.7,128.41
SNDK,2025-10-06,133.6,134.79,119.29,121.17
SNDK,2025-10-07,125.2,125.2,115.68,120.95
SNDK,2025-10-08,121.5,132.28,120.2,131.88
SNDK,2025-10-09,127.0,131.605,126.12,129.68
SNDK,2025-10-10,131.46,132.0,116.17,116.91
SNDK,2025-10-13,129.74,135.91,124.0475,134.61
SNDK,2025-10-14,123.59,130.46,120.96,127.29
SNDK,2025-10-15,134.75,144.55,130.5001,144.36
SNDK,2025-10-16,146.0,149.09,141.7,144.27
SNDK,2025-10-17,139.22,150.82,136.29,140.16
SNDK,2025-10-20,145.98,152.63,145.5,148.04
SNDK,2025-10-21,145.8,150.16,142.76,149.29
SNDK,2025-10-22,149.1,157.4,144.82,146.923
SNDK,2025-10-23,146.995,167.95,146.0,167.05
SNDK,2025-10-24,174.4,187.36,173.5,186.16
SNDK,2025-10-27,191.5,191.85,173.72,176.49
SNDK,2025-10-28,175.49,178.82,164.56,175.53
SNDK,2025-10-29,186.67,205.64,181.51,204.367
SNDK,2025-10-30,192.02,204.9199,191.09,195.82
SNDK,2025-10-31,203.5,209.77,189.58,199.45
SNDK,2025-11-03,210.85,213.4,189.1,207.04
SNDK,2025-11-04,188.135,202.98,185.0,194.57
SNDK,2025-11-05,201.88,218.94,201.87,216.5
SNDK,2025-11-06,212.0,226.5,205.1801,207.69
SNDK,2025-11-07,208.42,240.0,203.4,239.48
SNDK,2025-11-10,247.0,270.91,247.0,268.03
SNDK,2025-11-11,262.29,275.8699,255.87,271.39
SNDK,2025-11-12,271.58,284.7599,267.05,283.13
SNDK,2025-11-13,268.0,271.84,234.13,243.53
SNDK,2025-11-14,236.0,270.4893,235.05,254.265
SNDK,2025-11-17,253.4,282.7999,253.0,265.68
SNDK,2025-11-18,257.04,260.6315,229.11,244.73
SNDK,2025-11-19,251.11,256.98,233.785,245.85
SNDK,2025-11-20,252.17,254.6,192.62,195.96
SNDK,2025-11-21,205.37,205.5,183.0,200.23
SNDK,2025-11-24,206.05,228.18,205.13,226.96
SNDK,2025-11-25,228.4,229.0688,209.0001,220.5
SNDK,2025-11-26,226.0,227.9999,205.4,215.04
SNDK,2025-11-28,225.25,237.77,211.73,223.28
SNDK,2025-12-01,211.84,215.3,205.24,210.17
SNDK,2025-12-02,211.75,217.0,192.8,205.35
SNDK,2025-12-03,196.695,199.18,187.7,194.31
SNDK,2025-12-04,192.325,214.99,189.68,213.31
SNDK,2025-12-05,212.4,229.45,211.25,228.47
SNDK,2025-12-08,235.66,238.79,215.71,225.45
SNDK,2025-12-09,222.25,224.3302,213.5,219.46
SNDK,2025-12-10,218.0,234.17,215.2,232.86
SNDK,2025-12-11,230.0,244.19,217.67,241.61
SNDK,2025-12-12,232.11,236.0,204.8,206.18
SNDK,2025-12-15,214.445,217.0,200.3418,201.87
SNDK,2025-12-16,201.13,210.5,199.5,209.3
SNDK,2025-12-17,215.99,221.99,205.52,206.83
SNDK,2025-12-18,222.735,230.98,214.0,219.46
SNDK,2025-12-19,222.29,243.71,221.0,237.6
SNDK,2025-12-22,249.645,252.0,226.6,241.05
SNDK,2025-12-23,238.42,245.5,234.0001,244.9
SNDK,2025-12-24,244.9,261.37,244.5,250.08
SNDK,2025-12-26,259.595,261.5,245.1,250.05
SNDK,2025-12-29,241.555,250.0,236.01,244.25
SNDK,2025-12-30,245.87,247.48,236.52,240.22
SNDK,2025-12-31,241.415,241.8999,235.24,237.38
SNDK,2026-01-02,244.35,275.7999,244.0,275.24
SNDK,2026-01-05,284.22,285.0,266.33,274.08
SNDK,2026-01-06,288.745,352.0,288.5,349.59
SNDK,2026-01-07,340.88,354.59,331.23,353.87
SNDK,2026-01-08,360.73,360.975,310.78,334.54
SNDK,2026-01-09,341.6,384.0,334.5401,377.41
SNDK,2026-01-12,373.97,395.16,373.97,389.27
